oem,type,name,description,cost,rate,brand,models
48725-12150,悬挂臂衬套,48725-12150,ARM BUSH RR AE9# AE10# RUBBER FROTISE,42.75,85.5,FROTISE,"AE9#,AE10#,ST17#,ACV3#,ACV4#"
45046-29335,外球头,45046-29335,TIE ROD END CORONA AT21# SXM10 RH FROTISE,140,280,FROTISE,AT21#
45046-39175,外球头,45046-39175,TIE ROD END SHORT TOYOTA HIACE YH50/SURF RN30/YN85 FROTISE,120,240,FROTISE,"LN10#,YN8#"
04152-37010,机油滤芯,04152-37010,OIL FILTER 2ZR/2TR/1AD/2AD AVENSIS/COROLLA ZRE141 DRIVEPAL,41,82,DRIVEPAL,"1AD,2AD,2TR,2ZR,ZRE141"
45046-29215,外球头,45046-29215,TIE ROD END TOYOTA HIACE LH113 BIG HOLE FROTISE,110,220,FROTISE,LH11#
45046-29285,外球头,45046-29285,TIE ROD END TOYOTA MARK II GX90 FROTISE,120,240,FROTISE,GX90
90915-YZZE1,机油滤清器,90915-YZZE1,OIL FILTER COROLLA AE100/AE110/NZE120/ZRE151 ALLION NZT240/ZZT240 VITZ SCP10 RAV4 SXA11 DRIVEPAL,40,80,DRIVEPAL,AE10#
45047-29105,外球头,45047-29105,TIE ROD END CORONA AT21# SXM10 LH FROTISE,140,280,FROTISE,AT21#
48830-35020,平衡杆球头,48830-35020,STABILIZER LINK PRADO KZJ95 HILUX SURF KZN185 RR JOKITO,40,80,JOKITO,"KZJ9#,KZN185"
45460-39575,外球头,45460-39575,TIE ROD END TOYOTA MARK II/VEROSSA GX110 RH FROTISE,145,290,FROTISE,GX110
45470-39205,外球头,45470-39205,TIE ROD END TOYOTA MARK II/VEROSSA GX110 LH FROTISE,145,290,FROTISE,GX110
45046-39505,外球头,45046-39505,TIE ROD END PRADO KZJ120 HILUX SURF RZN210 FROTISE,170,340,FROTISE,KZJ12#
45046-49095,外球头,45046-49095,TIE ROD END TOYOTA RAV4 ACA21/NOAH AZR60 RH FROTISE,170,340,FROTISE,"ACA2#,AZR6#"
48819-52010,平衡杆修理包,48819-52010,STABILIZER LINK VITZ SCP10 JOKITO,40,80,JOKITO,"SCP1#,NCP1#,NCP2#"
45046-B9270,外球头,45046-B9270,TIE ROD END PASSO KGC10 DUET M100 RH FROTISE,140,280,FROTISE,"KGC1#,M100"
45047-19215,外球头,45047-19215,TIE ROD END COROLLA AURIS ZRE152 LH FROTISE,220,440,FROTISE,ZRE15#
45047-49025,外球头,45047-49025,TIE ROD END TOYOTA RAV4 ACA21 NOAH AZR60 LH FROTISE,170,340,FROTISE,"ACA2#,AZR6#"
45047-B9220,外球头,45047-B9220,TIE ROD END PASSO KGC10 DUET M100 LH FROTISE,140,280,FROTISE,"KGC1#,M100"
48520-3S525,外球头,48520-3S525,TIE ROD END NISSAN HARDBODY D22 4WD X TRAIL T30 (OUTTER) FROTISE,125,250,FROTISE,"D22,T30,R50,E50,C24"
48521-2S485,外球头,48521-2S485,TIE ROD END HARDBODY D22 2WD (INNER) FROTISE,170,340,FROTISE,D22
48570-3S525,外球头,48570-3S525,TIE ROD END NISSAN HARDBODY D22 4WD (INNER) FROTISE,125,250,FROTISE,D22
53540-S04-003,外球头,53540-S04-003,TIE ROD END HONDA CRV RD1 RH FROTISE,160,320,FROTISE,"RD1,EK3"
53541-S5A-003,外球头,53541-S5A-003,TIE ROD END HONDA CRV RD5 FROTISE,140,280,FROTISE,"RD5,EP2"
53560-S04-003,外球头,53560-S04-003,TIE ROD END HONDA CRV RD1 LH FROTISE,160,320,FROTISE,"RD1,EK3"
UH74-32-250,外球头,UH74-32-250,TIE ROD END MZADA BT50 2WD INNER OLD MODEL FROTISE,210,420,FROTISE,BT50 2WD
D8520-JG00A,外球头,D8520-JG00A,TIE ROD END RH X-TRAIL T31 FROTISE,210,420,FROTISE,"T31,S35"
D8640-JG00A,外球头,D8640-JG00A,TIE ROD END NISSAN X-TRAIL T31 LH FROTISE,210,420,FROTISE,"T31,S35"
20251-AA010,拉杆衬套,20251-AA010,CONTROL ROD BUSH RR S10 G10 G11 B10 B11 (RUBBER) FROTISE,38.95,77.9,FROTISE,"S10,G10,G11,B10(S),B11(S)"
YBTO-34A61,三叉轴承,YBTO-34A61,TRIPOD UNIVERSAL JOINT COROLLA VVTI NZE120 (SPIDER BEARING) FROTISE,110,220,FROTISE,NZE120
48520-2S485,外球头,48520-2S485,TIE ROD END HARDBODY D22 2WD (OUTTER) FROTISE,120,240,FROTISE,D22
48815-28170,平衡杆胶套,48815-28170,STABILIZER BUSH FR NOAH NEW MODEL AZR60 FROTISE,37,74,FROTISE,"AZR60,ZRR70"
45460-29435,外球头,45460-29435,TIE ROD END TOYOTA HARRIER ACU3# R/L FROTISE,180,360,FROTISE,"ACU3#,ACU20"
MB912519,外球头,MB912519,TIE ROD END MITSUBISHI PAJERO IO CHARIOT H66 H76 H77 FROTISE,120,240,FROTISE,H6#
28100-0L080,起动机,28100-0L080,STARTER ASSY HILUX VIGO FOTUNER 1KD-FTV 2KD-FTV (12V2.2KW)(10TEETH) FROTISE,2120,4240,FROTISE,"1KD-FTV,2KD-FTV"
YL8Z-3A130-GA,外球头,YL8Z-3A130-GA,TIE ROD END EP ESCAPE 00 FROTISE,180,360,FROTISE,"EP,ESCAPE 00"
48815-30551,平衡杆胶套,48815-30551,STABILIZER BUSH MARK X GRX120 FR FROTISE,35,70,FROTISE,GRX120
45046-49125,外球头,45046-49125,TIE ROD END IPSUM ACM2# RH FROTISE,155,310,FROTISE,ACM2#
45047-49055,外球头,45047-49055,TIE ROD END IPSUM ACM2# LH FROTISE,155,310,FROTISE,ACM2#
45046-09281,外球头,45046-09281,TIE ROD END HILUX VIGO KUN25 OUTER JOKITO,125,250,JOKITO,KUN25
48331-12210,缓冲胶,48331-12210,RUBBER BUFFER COROLLA VVTI NZE12# FR FROTISE,35,70,FROTISE,NZE12#
124MY26,同步带,124MY26,TIMING BELT TOYOTA 4EFE 124T FROTISE,140,280,FROTISE,4EFE
129MR31,同步带,129MR31,TIMING BELT TOYOTA HIACE 2L 3L 5L FROTISE,170,340,FROTISE,"3L,5L"
129MY27,同步带,129MY27,TIMING BELT 1GFE (129T) FROTISE,140,280,FROTISE,1GFE
5PK995,风扇皮带,5PK995,FAN BELT 5PK995 SXA11 SR40 SR50 FROTISE,34,68,FROTISE,"SXA11,SR40,SR50"
48306-35190,缓冲胶,48306-35190,BUFFER RUBBER HILUX 4WD LN166 RR FROTISE,33.25,66.5,FROTISE,LN16#
48674-28010,扭力杆衬套,48674-28010,TORQUE BAR BUSH NOAH SR4# (strut bar bush) FROTISE,50,100,FROTISE,"SR40,CR4#,YR2#"
90942-61J01,轮胎螺丝,90942-61J01,WHEEL STUD FR PATROL Y61 FROTISE,33,65,FROTISE,Y61
48815-35100,平衡杆胶套,48815-35100,STABILIZER BUSH PRADO KZJ95 FR (￠26) FROTISE,30,60,FROTISE,KZJ9#
48815-58010,平衡杆胶套,48815-58010,STABILIZER BUSH FR ALPHARD ANH15 ACR3# FROTISE,40,80,FROTISE,"ANH15,ACR3#"
45503-29565,内球头,45503-29565,RACK END REGIUS RCH4# KZH10# FROTISE,135,270,FROTISE,KZH10#
53540-SAA-003,外球头,53540-SAA-003,TIE ROD END HONDA FIT GD# RH FROTISE,180,360,FROTISE,GD#
YBTO-20A05,三叉轴承,YBTO-20A05,TRIPOD UNIVERSAL JOINT/SPIDER BEARING CRV RD1 (32T/SQUARE) FROTISE,300,600,FROTISE,RD1
YBTO-20A06,三叉轴承,YBTO-20A06,TRIPOD UNIVERSAL JOINT/SPIDER BEARING CRV RD1(30T/SUQARE) FROTISE,290,580,FROTISE,RD1
53560-SAA-003,外球头,53560-SAA-003,TIE ROD END HONDA FIT GD# LH FROTISE,180,360,FROTISE,GD#
54613-8H518,平衡杆胶套,54613-8H518,STABILIZER BUSH X-TRAIL T30 RR FROTISE,30,60,FROTISE,T30
16401-20353,水箱盖,16401-20353,RADIATOR CAP WITH VALVE FROTISE,30,60,FROTISE,UNIVERSAL
48815-12310,平衡杆胶套,48815-12310,STABILIZER BUSH NZE120 FR (18) FROTISE,28.5,57,FROTISE,NZE12#
37125-21077,万向节,37125-21077,UNIVERSAL JOINT NISSAN HARDBODY D22 (GU-1100) (27*74.6) BELCOT,85,170,BELCOT,D22
GUN-46,万向节,GUN-46,UNIVERSAL JOINT CARAVAN E24 FROTISE BELCOT,90,180,BELCOT,E24
GUN-48,万向节,GUN-48,UNIVERSAL JOINT NISSAN D22 (27*83) BELCOT,110,220,BELCOT,D22
48818-33050,平衡杆胶套,48818-33050,STABILIZER BUSH RR HARRIER ACU3#（48818-48040） FROTISE,28.5,57,FROTISE,ACU3#
48815-60170,平衡杆胶套,48815-60170,STABILIZER BUSH FR L/C HZJ78/79  (￠31) FROTISE,28.5,57,FROTISE,HZJ78
R703A-50,小瓦,R703A-50,CONROD BEARING 1RZ 2RZ 3RZ 0.5 TEIHO,80,160,TEIHO,"1RZ,2RZ,3RZ"
GWM-65A,水泵,GWM-65A,WATER PUMP MITSUBISHI CANTER/ROSA 4D33/34/35/36 5 HOLES FROTISE,420,840,FROTISE,"4D33,4D34,4D35"
GWM-68A,水泵,GWM-68A,WATER PUMP MITSUBISHI 4D33/34/CANTER/ROSA 4 HOLES FROTISE,420,840,FROTISE,"4D33,4D34"
GWT-101A,水泵,GWT-101A,WATER PUMP TOYOTA 1NZFE/2NZFE FROTISE,240,480,FROTISE,"1NZ,2NZ"
GWT-119A,水泵,GWT-119A,WATER PUMP TOYOTA 1AZ 2AZ FROTISE,270,540,FROTISE,"1AZFSE,2AZFE"
GWT-142A,水泵,GWT-142A,WATER PUMP TOYOTA PASSO 1KRFE FROTISE,370,740,FROTISE,1KRFE
GWT-66A,水泵,GWT-66A,WATER PUMP TOYOTA MARK II GX110 1GFE FROTISE,320,640,FROTISE,1GFE
GWT-77A,水泵,GWT-77A,WATER PUMP TOYOTA 3SFE 4SFE 5SFE FROTISE,280,560,FROTISE,"3SFE,4SFE,5SFE"
GWT-78A,水泵,GWT-78A,WATER PUMP TOYOTA 4AFE 5AFE FROTISE,260,520,FROTISE,"4AFE,5AFE"
GWT-79A,水泵,GWT-79A,WATER PUMP TOYOTA 3L/5L FROTISE,330,660,FROTISE,"2L,3L,5L"
GWT-85A,水泵,GWT-85A,WATER PUMP 1RZ 2RZ FROTISE,330,660,FROTISE,"1RZ,2RZ"
54613-AU102,平衡杆胶套,54613-AU102,STABILIZER BUSH RR PRIMERA P12 FROTISE,27.55,55.1,FROTISE,P12
90385-T0002-Y,钢板衬套,90385-T0002-Y,SPRING BUSH HILUX VIGO KUN25 LOWER FROTISE,25,50,FROTISE,KUN25
DAC45840045,轮毂轴承,DAC45840045,WHEEL BEARING HARRIER ACU35 FR SNG,140,280,SNG,"MCU3#,ACU25"
LM104948/10,轮毂轴承,LM104948/10,WHEEL BEARING LAND CRUISER HZJ7# HILUX LN10# HIACE LH11# INNER BELCOT,110,220,BELCOT,"HZJ78,LN10#"
6PK2250,风扇皮带,6PK2250,FAN BELT 6PK2250 X-TRAIL T30 FROTISE,170,50,FROTISE,T30
54613-BA000,平衡杆胶套,54613-BA000,STABILIZER BUSH FR PRIMERA P12 FROTISE,24.7,49.4,FROTISE,P12
MZ0443801,球笼防尘套,MZ0443801,C.V JOINT BOOT INNER MAZDA DEMIO NEW MODEL DY ZJ-VE FROTISE,23.75,47.5,FROTISE,DY
48818-30160,平衡杆胶套,48818-30160,STABILIZER BUSH MARK X GRX120 RR FROTISE,21,42,FROTISE,GRX12#
48815-12340,平衡杆胶套,48815-12340,STABILIZER BUSH COROLLA VVTI NZE120 FR FROTISE,20,40,FROTISE,"NZE120,ZRE14#"
90942-02100,轮胎螺丝,90942-02100,WHEEL STUD COROLLA AE100 FROTISE,19,38,FROTISE,AE100
DAC43800050/45,轮毂轴承,DAC43800050/45,"WHEEL BEARING MARK II GX80,GX90,GX100/CROWN GS15# RR BELCOT",270,540,BELCOT,"GX100,GX90"
43420-33200,前半轴总成,43420-33200,DRIVE SHAFT ASSY LH ALPHARD ANH10 FROTISE,2310,4620,FROTISE,ANH10
16401-54750,水箱盖,16401-54750,RADIATOR CAP WITHOUT VALVE (SMALL) FROTISE,19,38,FROTISE,UNIVERSAL
DAC43760043,轮毂轴承,DAC43760043,WHEEL BEARING NISSAN X-TRAIL T30 SERENA C24 FR BELCOT,210,420,BELCOT,T30
DU42720038/35,轮毂轴承,DU42720038/35,"WHEEL BEARING SUBARU S10,S11,G10,G11,B11(S) FR BELCOT",250,500,BELCOT,"S10,S11,G10,G11,B10(S),B11(S),B12(S)"
DAC40740036,轮毂轴承,DAC40740036,WHEEL BEARING MITSUBISHI PAJERO IO H6# SUNNY B15 FR BELCOT,220,440,BELCOT,B15
90948-01003,减震器胶套,90948-01003,SHOCK ABSORBER CUSHION (LINK BUSH) (MEDIUM) UNIVERSAL FROTISE,15,30,FROTISE,KZJ95
45522-42010,方向机衬套,45522-42010,STEERING BUSH RAV4 SXA11# ACA2# FROTISE,14.25,28.5,FROTISE,"ACA2#,SXA1#"
DAC38700038,轮毂轴承,DAC38700038,WHEEL BEARING TOWNACE S402/CAMI J100/RUSH J200 FR BELCOT,220,440,BELCOT,"J100,J200"
DU42800038,轮毂轴承,DU42800038,WHEEL BEARING CARAVAN E25/TERRANO R50/D-MAX/NP300 D22 RR BELCOT,350,700,BELCOT,"E25,R50,D-MAX"
UC3C-34-250D,悬挂臂,UC3C-34-250D,CONTROL ARM FORD RANGER T6 UPPER LH FROTISE,890,1780,FROTISE,T6
LM11749R/10,轮毂轴承,LM11749R/10,"WHEEL BEARING STARLET EP9# EL4#,EXZ1# FR BELCOT",30,60,BELCOT,"EP9#,EL4#,EXZ1#"
UC3C-34-200D,悬挂臂,UC3C-34-200D,CONTROL ARM FORD RANGER T6 UPPER RH FROTISE,890,1780,FROTISE,T6
48815-33060,平衡杆胶套,48815-33060,STABILIZER BUSH FR HARRIER MCU10  (￠17)  FROTISE,14,28,FROTISE,MCU1#
45BWD12,轮毂轴承,45BWD12,WHEEL BEARING HONDA CRV RD5 FR (MAGNETIC) BELCOT,340,680,BELCOT,RD5
6308-2NSE,轮毂轴承,6308-2NSE,WHEEL BEARING HILUX YN5# YN8# RR BELCOT,130,260,BELCOT,"YN5#,YN8#,KZH100"
UC3C33047B,轮毂轴承,UC3C33047B,WHEEL BEARING FORD RANGER T6 FR WITH ABS SENSOR BELCOT,570,1140,BELCOT,T6
47550-16030,制动分泵,47550-16030,WHEEL CYLINDER RR RH COROLLA AE100 FROTISE,110,220,FROTISE,AE10#
47550-30100,制动分泵,47550-30100,WHEEL CYLINDER RR RH/LH TOYOTA HIACE LH113  FROTISE,130,260,FROTISE,LH11#
47550-35170,制动分泵,47550-35170,WHEEL CYLINDER RR TOYOTA HILUX LN106 FROTISE,160,320,FROTISE,LN10#
47550-60120,制动分泵,47550-60120,WHEEL CYLINDER RR TOYOTA LAND CRUISER HZJ78/79/HIACE LH109/117/172/188 FROTISE,220,440,FROTISE,"HZJ78,HZJ79,LH109,LH117,LH172,LH188"
11115-21030-M,汽缸垫,11115-21030-M,HEAD GASKET TOYOTA 1NZFE (METAL)FROTISE,95,25,FROTISE,"1NZFE,2NZFE"
MB060570,制动分泵,MB060570,WHEEL CYLINDER FR LH MITSUBISHI CANTER 4D32 FROTISE,210,420,FROTISE,4D32
48609-0D030,减震器顶胶,48609-0D030,SHOCK MOUNTING VITZ SCP1# NCP20 NCP60  NCZ20 PROBOX NCP5# FR FROTISE,200,400,FROTISE,"SCP1#,NCP5#"
44100-3T011,制动分泵,44100-3T011,WHEEL CYLINDER HARDBODY D21 CARAVAN E24 FROTISE,150,300,FROTISE,"D21,E24"
30BWK10,轮毂单元,30BWK10,WHEEL HUB RR TOYOTA CORONA/PREMIO ST191/210 BELCOT,340,680,BELCOT,AT21#
